Landsat Scene Identifier,LC81790732022085LGN00,LC81790732022101LGN00,LC91790732022125LGN01,LC91790732022157LGN01,LC81790732022197LGN00,LC91790732022221LGN01
Date Acquired,2022/03/26,2022/04/11,2022/05/05,2022/06/06,2022/07/16,2022/08/09
Roll Angle,0.000,0.000,0.001,0.000,-0.001,0.000
Date Product Generated L2,2022/03/30,2022/04/19,2023/04/17,2023/04/14,2022/07/26,2023/04/03
Date Product Generated L1,2022/03/30,2022/04/19,2023/04/17,2023/04/14,2022/07/26,2023/04/03
Land Cloud Cover,1.32,2.17,4.72,7.61,7.33,2.09
Scene Cloud Cover L1,1.32,2.17,4.72,7.61,7.33,2.09
Ground Control Points Model,655,731,757,770,770,764
Geometric RMSE Model,6.052,5.435,4.999,5.096,4.984,4.731
Geometric RMSE Model X,4.294,3.929,3.628,3.534,3.632,3.393
Geometric RMSE Model Y,4.265,3.755,3.440,3.671,3.413,3.297
Sun Elevation L0RA,52.82328395,49.80572103,44.79448536,39.50399786,39.59460724,43.81050644
Sun Azimuth L0RA,58.84443485,50.14840089,40.94078960,36.09442691,38.72515388,43.52123333
TIRS SSM Model,FINAL,FINAL,N/A,N/A,FINAL,N/A
Satellite,8,8,9,9,8,9
Scene Center Lat DMS,"18°47'15.47""S","18°47'14.60""S","18°47'14.57""S","18°47'14.42""S","18°47'15.50""S","18°47'15""S"
Scene Center Long DMS,"16°19'24.89""E","16°16'36.80""E","16°17'21.16""E","16°17'26.23""E","16°18'50.76""E","16°16'07.28""E"
Corner Upper Left Lat DMS,"17°44'22.85""S","17°44'23.03""S","17°44'22.99""S","17°44'22.99""S","17°44'22.88""S","17°44'23.06""S"
Corner Upper Left Long DMS,"15°13'38.35""E","15°10'55.38""E","15°11'36.13""E","15°11'36.13""E","15°13'07.79""E","15°10'24.82""E"
Corner Upper Right Lat DMS,"17°43'30.40""S","17°43'32.48""S","17°43'31.87""S","17°43'31.87""S","17°43'30.76""S","17°43'32.74""S"
Corner Upper Right Long DMS,"17°24'09.43""E","17°21'16.42""E","17°22'07.28""E","17°22'07.28""E","17°23'38.90""E","17°20'56.04""E"
Corner Lower Left Lat DMS,"19°51'06.55""S","19°51'06.73""S","19°50'56.94""S","19°50'56.94""S","19°51'06.59""S","19°50'57.01""S"
Corner Lower Left Long DMS,"15°13'48.61""E","15°11'03.59""E","15°11'44.84""E","15°11'44.84""E","15°13'17.69""E","15°10'32.63""E"
Corner Lower Right Lat DMS,"19°50'07.33""S","19°50'09.71""S","19°49'59.27""S","19°49'59.27""S","19°50'07.76""S","19°50'00.24""S"
Corner Lower Right Long DMS,"17°25'57.86""E","17°23'02.69""E","17°23'54.06""E","17°23'54.06""E","17°25'26.94""E","17°22'41.92""E"
